paper_identity,row_key,paper_id,use_case_key,split_set,label_positive,title
doi:10.1001/archpsyc.1994.03950090019003,synergy_brouwer_2019__doi:10.1001/archpsyc.1994.03950090019003,doi:10.1001/archpsyc.1994.03950090019003,synergy_brouwer_2019,large_set_a,0,Mood-Lowering Effect of Tryptophan Depletion
doi:10.1001/archpsyc.1994.03950090019003,synergy_walker_2018__doi:10.1001/archpsyc.1994.03950090019003,doi:10.1001/archpsyc.1994.03950090019003,synergy_walker_2018,large_set_b,0,Mood-Lowering Effect of Tryptophan Depletion
doi:10.1001/jama.2011.1080,synergy_brouwer_2019__doi:10.1001/jama.2011.1080,doi:10.1001/jama.2011.1080,synergy_brouwer_2019,large_set_a,0,Adjunctive Risperidone Treatment for Antidepressant-Resistant Symptoms of Chronic Military Service–Related PTSD
doi:10.1001/jama.2011.1080,synergy_walker_2018__doi:10.1001/jama.2011.1080,doi:10.1001/jama.2011.1080,synergy_walker_2018,large_set_b,0,Adjunctive Risperidone Treatment for Antidepressant-Resistant Symptoms of Chronic Military Service–Related PTSD
doi:10.1001/jamapsychiatry.2013.268,synergy_brouwer_2019__doi:10.1001/jamapsychiatry.2013.268,doi:10.1001/jamapsychiatry.2013.268,synergy_brouwer_2019,large_set_a,0,"Fecundity of Patients With Schizophrenia, Autism, Bipolar Disorder, Depression, Anorexia Nervosa, or Substance Abuse vs Their Unaffected Siblings"
doi:10.1001/jamapsychiatry.2013.268,synergy_walker_2018__doi:10.1001/jamapsychiatry.2013.268,doi:10.1001/jamapsychiatry.2013.268,synergy_walker_2018,large_set_b,0,"Fecundity of Patients With Schizophrenia, Autism, Bipolar Disorder, Depression, Anorexia Nervosa, or Substance Abuse vs Their Unaffected Siblings"
doi:10.1002/(sici)1096-8628(19970531)74:3<275::aid-ajmg7>3.0.co;2-p,synergy_brouwer_2019__doi:10.1002/(sici)1096-8628(19970531)74:3<275::aid-ajmg7>3.0.co;2-p,doi:10.1002/(sici)1096-8628(19970531)74:3<275::aid-ajmg7>3.0.co;2-p,synergy_brouwer_2019,large_set_a,0,Anticipation in schizophrenia: Biology or bias?
doi:10.1002/(sici)1096-8628(19970531)74:3<275::aid-ajmg7>3.0.co;2-p,synergy_walker_2018__doi:10.1002/(sici)1096-8628(19970531)74:3<275::aid-ajmg7>3.0.co;2-p,doi:10.1002/(sici)1096-8628(19970531)74:3<275::aid-ajmg7>3.0.co;2-p,synergy_walker_2018,large_set_b,0,Anticipation in schizophrenia: Biology or bias?
doi:10.1002/1097-4679(198407)40:4<914::aid-jclp2270400408>3.0.co;2-u,synergy_brouwer_2019__doi:10.1002/1097-4679(198407)40:4<914::aid-jclp2270400408>3.0.co;2-u,doi:10.1002/1097-4679(198407)40:4<914::aid-jclp2270400408>3.0.co;2-u,synergy_brouwer_2019,large_set_a,0,Parental communication of holocaust experiences and personality characteristics among second-generation survivors
doi:10.1002/1097-4679(198407)40:4<914::aid-jclp2270400408>3.0.co;2-u,synergy_walker_2018__doi:10.1002/1097-4679(198407)40:4<914::aid-jclp2270400408>3.0.co;2-u,doi:10.1002/1097-4679(198407)40:4<914::aid-jclp2270400408>3.0.co;2-u,synergy_walker_2018,large_set_b,0,Parental communication of holocaust experiences and personality characteristics among second-generation survivors
doi:10.1002/14651858.cd006534.pub2,synergy_brouwer_2019__doi:10.1002/14651858.cd006534.pub2,doi:10.1002/14651858.cd006534.pub2,synergy_brouwer_2019,large_set_a,0,Citalopram versus other anti-depressive agents for depression
doi:10.1002/14651858.cd006534.pub2,synergy_walker_2018__doi:10.1002/14651858.cd006534.pub2,doi:10.1002/14651858.cd006534.pub2,synergy_walker_2018,large_set_b,0,Citalopram versus other anti-depressive agents for depression
doi:10.1002/ajmg.1320210408,synergy_brouwer_2019__doi:10.1002/ajmg.1320210408,doi:10.1002/ajmg.1320210408,synergy_brouwer_2019,large_set_a,0,"Linear skin atrophy, scarring alopecia, anonychia, and tongue lesion: A “new” syndrome?"
doi:10.1002/ajmg.1320210408,synergy_walker_2018__doi:10.1002/ajmg.1320210408,doi:10.1002/ajmg.1320210408,synergy_walker_2018,large_set_b,0,"Linear skin atrophy, scarring alopecia, anonychia, and tongue lesion: A “new” syndrome?"
doi:10.1002/ajmg.a.30524,synergy_brouwer_2019__doi:10.1002/ajmg.a.30524,doi:10.1002/ajmg.a.30524,synergy_brouwer_2019,large_set_a,0,Maternal inheritance in cyclic vomiting syndrome
doi:10.1002/ajmg.a.30524,synergy_walker_2018__doi:10.1002/ajmg.a.30524,doi:10.1002/ajmg.a.30524,synergy_walker_2018,large_set_b,0,Maternal inheritance in cyclic vomiting syndrome
doi:10.1002/art.21208,synergy_leenaars_2020__doi:10.1002/art.21208,doi:10.1002/art.21208,synergy_leenaars_2020,large_set_a,1,Genetically based resistance to the antiinflammatory effects of methotrexate in the air-pouch model of acute inflammation
doi:10.1002/art.21208,synergy_walker_2018__doi:10.1002/art.21208,doi:10.1002/art.21208,synergy_walker_2018,large_set_b,0,Genetically based resistance to the antiinflammatory effects of methotrexate in the air-pouch model of acute inflammation
doi:10.1002/bies.20522,synergy_moran_2021__doi:10.1002/bies.20522,doi:10.1002/bies.20522,synergy_moran_2021,large_set_a,0,Non-genomic transgenerational inheritance of disease risk
doi:10.1002/bies.20522,synergy_walker_2018__doi:10.1002/bies.20522,doi:10.1002/bies.20522,synergy_walker_2018,large_set_b,1,Non-genomic transgenerational inheritance of disease risk
doi:10.1007/s00167-009-1028-1,synergy_jeyaraman_2020__doi:10.1007/s00167-009-1028-1,doi:10.1007/s00167-009-1028-1,synergy_jeyaraman_2020,large_set_b,1,Matrix-induced autologous chondrocyte implantation versus microfracture in the treatment of cartilage defects of the knee: a 2-year randomised study
doi:10.1007/s00167-009-1028-1,synergy_van_dis_2020__doi:10.1007/s00167-009-1028-1,doi:10.1007/s00167-009-1028-1,synergy_van_dis_2020,large_set_a,0,Matrix-induced autologous chondrocyte implantation versus microfracture in the treatment of cartilage defects of the knee: a 2-year randomised study
doi:10.1007/s00167-009-1028-1,synergy_walker_2018__doi:10.1007/s00167-009-1028-1,doi:10.1007/s00167-009-1028-1,synergy_walker_2018,large_set_b,0,Matrix-induced autologous chondrocyte implantation versus microfracture in the treatment of cartilage defects of the knee: a 2-year randomised study
doi:10.1007/s00406-012-0339-2,synergy_moran_2021__doi:10.1007/s00406-012-0339-2,doi:10.1007/s00406-012-0339-2,synergy_moran_2021,large_set_a,0,Prevalence of the metabolic syndrome in patients with borderline personality disorder: results from a cross-sectional study
doi:10.1007/s00406-012-0339-2,synergy_walker_2018__doi:10.1007/s00406-012-0339-2,doi:10.1007/s00406-012-0339-2,synergy_walker_2018,large_set_b,0,Prevalence of the metabolic syndrome in patients with borderline personality disorder: results from a cross-sectional study
doi:10.1007/s00442-009-1439-1,synergy_moran_2021__doi:10.1007/s00442-009-1439-1,doi:10.1007/s00442-009-1439-1,synergy_moran_2021,large_set_a,0,Counterintuitive size patterns in bivoltine moths: late-season larvae grow larger despite lower food quality
doi:10.1007/s00442-009-1439-1,synergy_walker_2018__doi:10.1007/s00442-009-1439-1,doi:10.1007/s00442-009-1439-1,synergy_walker_2018,large_set_b,0,Counterintuitive size patterns in bivoltine moths: late-season larvae grow larger despite lower food quality
doi:10.1007/s00520-007-0320-1,synergy_van_dis_2020__doi:10.1007/s00520-007-0320-1,doi:10.1007/s00520-007-0320-1,synergy_van_dis_2020,large_set_a,0,Breast cancer and psychological distress: mothers’ and daughters’ traumatic experiences
doi:10.1007/s00520-007-0320-1,synergy_walker_2018__doi:10.1007/s00520-007-0320-1,doi:10.1007/s00520-007-0320-1,synergy_walker_2018,large_set_b,0,Breast cancer and psychological distress: mothers’ and daughters’ traumatic experiences
doi:10.1007/s10067-006-0214-5,synergy_leenaars_2020__doi:10.1007/s10067-006-0214-5,doi:10.1007/s10067-006-0214-5,synergy_leenaars_2020,large_set_a,0,Anti-CCP antibodies in rheumatoid arthritis and psoriatic arthritis
doi:10.1007/s10067-006-0214-5,synergy_walker_2018__doi:10.1007/s10067-006-0214-5,doi:10.1007/s10067-006-0214-5,synergy_walker_2018,large_set_b,0,Anti-CCP antibodies in rheumatoid arthritis and psoriatic arthritis
doi:10.1007/s10964-011-9740-9,synergy_brouwer_2019__doi:10.1007/s10964-011-9740-9,doi:10.1007/s10964-011-9740-9,synergy_brouwer_2019,large_set_a,0,The Role of Parenting and Mother-Adolescent Attachment in the Intergenerational Similarity of Internalizing Symptoms
doi:10.1007/s10964-011-9740-9,synergy_walker_2018__doi:10.1007/s10964-011-9740-9,doi:10.1007/s10964-011-9740-9,synergy_walker_2018,large_set_b,0,The Role of Parenting and Mother-Adolescent Attachment in the Intergenerational Similarity of Internalizing Symptoms
doi:10.1007/s10995-010-0650-3,synergy_van_dis_2020__doi:10.1007/s10995-010-0650-3,doi:10.1007/s10995-010-0650-3,synergy_van_dis_2020,large_set_a,0,Antecedents and Consequences of Caregiving Structure on Young Mothers and Their Infants
doi:10.1007/s10995-010-0650-3,synergy_walker_2018__doi:10.1007/s10995-010-0650-3,doi:10.1007/s10995-010-0650-3,synergy_walker_2018,large_set_b,0,Antecedents and Consequences of Caregiving Structure on Young Mothers and Their Infants
doi:10.1007/s11121-011-0223-8,synergy_brouwer_2019__doi:10.1007/s11121-011-0223-8,doi:10.1007/s11121-011-0223-8,synergy_brouwer_2019,large_set_a,0,Contribution of Family Violence to the Intergenerational Transmission of Externalizing Behavior
doi:10.1007/s11121-011-0223-8,synergy_walker_2018__doi:10.1007/s11121-011-0223-8,doi:10.1007/s11121-011-0223-8,synergy_walker_2018,large_set_b,0,Contribution of Family Violence to the Intergenerational Transmission of Externalizing Behavior
doi:10.1007/s11121-012-0277-2,synergy_brouwer_2019__doi:10.1007/s11121-012-0277-2,doi:10.1007/s11121-012-0277-2,synergy_brouwer_2019,large_set_a,0,"The Family Spirit Trial for American Indian Teen Mothers and Their Children: CBPR Rationale, Design, Methods and Baseline Characteristics"
doi:10.1007/s11121-012-0277-2,synergy_walker_2018__doi:10.1007/s11121-012-0277-2,doi:10.1007/s11121-012-0277-2,synergy_walker_2018,large_set_b,0,"The Family Spirit Trial for American Indian Teen Mothers and Their Children: CBPR Rationale, Design, Methods and Baseline Characteristics"
doi:10.1007/s11899-007-0012-4,synergy_brouwer_2019__doi:10.1007/s11899-007-0012-4,doi:10.1007/s11899-007-0012-4,synergy_brouwer_2019,large_set_a,0,Second-generation tyrosine kinase inhibitors as therapy for chronic myeloid leukemia
doi:10.1007/s11899-007-0012-4,synergy_walker_2018__doi:10.1007/s11899-007-0012-4,doi:10.1007/s11899-007-0012-4,synergy_walker_2018,large_set_b,0,Second-generation tyrosine kinase inhibitors as therapy for chronic myeloid leukemia
doi:10.1016/j.arr.2005.03.007,synergy_moran_2021__doi:10.1016/j.arr.2005.03.007,doi:10.1016/j.arr.2005.03.007,synergy_moran_2021,large_set_a,0,Intergenerational transfers may have decoupled physiological and chronological age in a eusocial insect
doi:10.1016/j.arr.2005.03.007,synergy_walker_2018__doi:10.1016/j.arr.2005.03.007,doi:10.1016/j.arr.2005.03.007,synergy_walker_2018,large_set_b,0,Intergenerational transfers may have decoupled physiological and chronological age in a eusocial insect
doi:10.1016/j.biopha.2007.12.005,synergy_brouwer_2019__doi:10.1016/j.biopha.2007.12.005,doi:10.1016/j.biopha.2007.12.005,synergy_brouwer_2019,large_set_a,0,Does minocycline have antidepressant effect?
doi:10.1016/j.biopha.2007.12.005,synergy_walker_2018__doi:10.1016/j.biopha.2007.12.005,doi:10.1016/j.biopha.2007.12.005,synergy_walker_2018,large_set_b,0,Does minocycline have antidepressant effect?
doi:10.1016/j.biopsych.2010.05.036,synergy_brouwer_2019__doi:10.1016/j.biopsych.2010.05.036,doi:10.1016/j.biopsych.2010.05.036,synergy_brouwer_2019,large_set_a,0,Epigenetic Transmission of the Impact of Early Stress Across Generations
doi:10.1016/j.biopsych.2010.05.036,synergy_walker_2018__doi:10.1016/j.biopsych.2010.05.036,doi:10.1016/j.biopsych.2010.05.036,synergy_walker_2018,large_set_b,0,Epigenetic Transmission of the Impact of Early Stress Across Generations
doi:10.1016/j.brainresrev.2007.06.013,synergy_moran_2021__doi:10.1016/j.brainresrev.2007.06.013,doi:10.1016/j.brainresrev.2007.06.013,synergy_moran_2021,large_set_a,0,Fetal programming of hypothalamic–pituitary–adrenal (HPA) axis function and behavior by synthetic glucocorticoids
doi:10.1016/j.brainresrev.2007.06.013,synergy_walker_2018__doi:10.1016/j.brainresrev.2007.06.013,doi:10.1016/j.brainresrev.2007.06.013,synergy_walker_2018,large_set_b,1,Fetal programming of hypothalamic–pituitary–adrenal (HPA) axis function and behavior by synthetic glucocorticoids
doi:10.1016/j.clineuro.2007.01.009,synergy_brouwer_2019__doi:10.1016/j.clineuro.2007.01.009,doi:10.1016/j.clineuro.2007.01.009,synergy_brouwer_2019,large_set_a,0,Juvenile Behçet's disease: Highlighting neuropsychiatric manifestations and putative genetic mechanisms
doi:10.1016/j.clineuro.2007.01.009,synergy_walker_2018__doi:10.1016/j.clineuro.2007.01.009,doi:10.1016/j.clineuro.2007.01.009,synergy_walker_2018,large_set_b,0,Juvenile Behçet's disease: Highlighting neuropsychiatric manifestations and putative genetic mechanisms
doi:10.1016/j.comppsych.2007.04.005,synergy_brouwer_2019__doi:10.1016/j.comppsych.2007.04.005,doi:10.1016/j.comppsych.2007.04.005,synergy_brouwer_2019,large_set_a,0,Low birth weight and risk of affective disorders and selected medical illness in offspring at high and low risk for depression
doi:10.1016/j.comppsych.2007.04.005,synergy_walker_2018__doi:10.1016/j.comppsych.2007.04.005,doi:10.1016/j.comppsych.2007.04.005,synergy_walker_2018,large_set_b,0,Low birth weight and risk of affective disorders and selected medical illness in offspring at high and low risk for depression
doi:10.1016/j.earlhumdev.2006.07.001,synergy_moran_2021__doi:10.1016/j.earlhumdev.2006.07.001,doi:10.1016/j.earlhumdev.2006.07.001,synergy_moran_2021,large_set_a,0,The Dutch famine and its long-term consequences for adult health
doi:10.1016/j.earlhumdev.2006.07.001,synergy_walker_2018__doi:10.1016/j.earlhumdev.2006.07.001,doi:10.1016/j.earlhumdev.2006.07.001,synergy_walker_2018,large_set_b,0,The Dutch famine and its long-term consequences for adult health
doi:10.1016/j.encep.2007.12.003,synergy_brouwer_2019__doi:10.1016/j.encep.2007.12.003,doi:10.1016/j.encep.2007.12.003,synergy_brouwer_2019,large_set_a,0,Données actuelles et modalités d’utilisation de l’aripiprazole dans le traitement de la schizophrénie
doi:10.1016/j.encep.2007.12.003,synergy_walker_2018__doi:10.1016/j.encep.2007.12.003,doi:10.1016/j.encep.2007.12.003,synergy_walker_2018,large_set_b,0,Données actuelles et modalités d’utilisation de l’aripiprazole dans le traitement de la schizophrénie
doi:10.1016/j.ijnurstu.2012.06.011,synergy_brouwer_2019__doi:10.1016/j.ijnurstu.2012.06.011,doi:10.1016/j.ijnurstu.2012.06.011,synergy_brouwer_2019,large_set_a,0,Parenting burn-injured children in India: A grounded theory study
doi:10.1016/j.ijnurstu.2012.06.011,synergy_walker_2018__doi:10.1016/j.ijnurstu.2012.06.011,doi:10.1016/j.ijnurstu.2012.06.011,synergy_walker_2018,large_set_b,0,Parenting burn-injured children in India: A grounded theory study
doi:10.1016/j.ijpsycho.2005.10.009,synergy_brouwer_2019__doi:10.1016/j.ijpsycho.2005.10.009,doi:10.1016/j.ijpsycho.2005.10.009,synergy_brouwer_2019,large_set_a,0,Blunted hypothalamic–pituitary–adrenocortical axis responsivity to stress in persons with a family history of alcoholism
