use_case_key,family,n_papers,positive,prevalence
synergy_brouwer_2019,SYNERGY,38114,62,0.0016266988508159732
synergy_bos_2018,SYNERGY,4877,10,0.002050440844781628
synergy_leenaars_2019,SYNERGY,5812,17,0.0029249827942188574
synergy_wolters_2018,SYNERGY,4278,19,0.004441327723235157
synergy_chou_2004,SYNERGY,1630,9,0.005521472392638037
synergy_chou_2003,SYNERGY,1907,15,0.007865757734661772
synergy_van_dis_2020,SYNERGY,9128,72,0.007887817703768623
synergy_radjenovic_2013,SYNERGY,5935,48,0.008087615838247682
synergy_van_de_schoot_2018,SYNERGY,4544,38,0.008362676056338027
synergy_appenzeller-herzog_2019,SYNERGY,2841,26,0.009151707145371349
synergy_smid_2020,SYNERGY,2627,27,0.010277883517320136
synergy_hall_2012,SYNERGY,8793,104,0.011827590128511315
synergy_wassenaar_2017,SYNERGY,7668,111,0.014475743348982786
synergy_walker_2018,SYNERGY,48343,760,0.015720993732288024
synergy_van_der_waal_2022,SYNERGY,1970,33,0.016751269035532996
synergy_oud_2018,SYNERGY,952,20,0.02100840336134454
synergy_moran_2021,SYNERGY,5214,111,0.021288837744533946
nykvist_evcharging,EV charging (Nykvist),11853,440,0.037121403864000674
synergy_meijboom_2021,SYNERGY,882,37,0.04195011337868481
synergy_donners_2021,SYNERGY,258,15,0.05813953488372093
synergy_menon_2022,SYNERGY,975,74,0.0758974358974359
synergy_leenaars_2020,SYNERGY,7210,582,0.08072122052704576
synergy_jeyaraman_2020,SYNERGY,1175,96,0.08170212765957446
synergy_van_der_valk_2021,SYNERGY,725,89,0.12275862068965518
synergy_muthu_2021,SYNERGY,2719,336,0.12357484369253402
synergy_sep_2021,SYNERGY,271,40,0.14760147601476015
synergy_nelson_2002,SYNERGY,366,80,0.2185792349726776
roadfreight_metareview,Road freight (review-of-reviews),132,103,0.7803030303030303
