,citation_count,citation_count,citation_count,paper_age,paper_age,paper_age,n_authors,n_authors,n_authors
,median,mean,std,median,mean,std,median,mean,std
use_case_key,,,,,,,,,
synergy_brouwer_2019,41.0,83.9764518561971,211.26136582285383,16.0,19.16567964690765,10.11929065754387,4.0,4.845853027233851,4.125177568069162
synergy_bos_2018,43.0,84.22635210327175,439.9738757119278,15.0,17.153349655018918,7.8866262760283465,7.0,7.9133823201959475,6.09164065806808
synergy_leenaars_2019,33.0,56.079804560260584,88.70830719738719,23.0,22.973760405356497,7.24906853443759,5.0,5.131294634682293,3.517326598503066
synergy_wolters_2018,31.0,82.58906525573192,312.55709751179603,14.0,15.900730662635425,6.6981447517347075,5.0,5.992410827219833,6.399245834329421
synergy_chou_2004,38.5,74.43178621659634,126.58197223724297,26.0,26.433895921237692,3.2653347654734697,3.0,3.2658227848101267,2.2742197101813146
synergy_chou_2003,44.0,92.14240305149396,228.35980061733176,27.0,27.1163382072473,2.8398417361819486,4.0,4.083916083916084,2.385137808273327
synergy_van_dis_2020,48.0,86.83598249251325,175.16176091854467,16.0,18.34277816171389,9.49747535064059,5.0,5.4574037683504795,3.6202553687692367
synergy_radjenovic_2013,8.0,30.77777777777778,97.97050605467894,20.0,21.075555555555557,5.238777981718761,3.0,3.015600891479513,1.69672384222929
synergy_van_de_schoot_2018,57.0,218.83632967546112,1405.8110511061636,16.0,17.42890497314966,6.421972687613153,4.0,4.5832553788587465,3.040750949305462
synergy_appenzeller-herzog_2019,19.0,50.69047619047619,137.99116458451982,19.0,23.374542124542124,13.740004896611964,4.0,4.478932584269663,4.669651480472923
synergy_smid_2020,75.0,577.8408822371013,3767.412258563131,18.0,20.99330445057109,11.495483167093962,2.0,2.8691699604743084,2.1447882759107904
synergy_hall_2012,7.0,33.03945845869012,619.8088945765201,19.0,19.393658875260357,2.6957078724333066,3.0,3.2209867963863794,1.5875674302139255
synergy_wassenaar_2017,51.0,91.88373570520966,159.48703358946466,19.0,21.201080050825922,7.176869480837783,4.0,4.485282418456642,2.530019908180661
synergy_walker_2018,31.0,67.92151860744298,164.6104036558938,22.0,24.604266706682672,10.126732782944378,4.0,4.619697159304217,4.042294970597069
synergy_van_der_waal_2022,25.0,46.71608171817706,87.87654563471035,9.0,10.026715557883708,3.7024863810356803,6.0,6.634171907756813,5.324629477502364
synergy_oud_2018,44.0,106.91877058177826,214.8878163468347,16.0,17.13940724478595,6.799102662182166,4.0,4.487858719646799,3.066548520689275
synergy_moran_2021,38.0,77.99388439534425,212.07906022098902,15.0,17.51114618267903,9.233665586211524,3.0,4.085736862900039,3.7006861644337268
nykvist_evcharging,10.0,30.4023997658765,62.337458574741724,6.0,5.830703012912482,1.776753402681919,4.0,3.905630763194036,1.721831267341436
synergy_meijboom_2021,16.0,39.528994082840235,207.33966151353218,8.0,8.460355029585799,2.5467016800686286,5.0,7.077751196172249,8.626650405126778
synergy_donners_2021,17.0,170.6265060240964,1632.2133279210123,8.0,7.975903614457831,1.8728271514102588,5.0,6.456066945606694,7.515051759867173
synergy_menon_2022,39.0,70.83744855967078,178.84349928565433,6.0,6.199588477366255,0.528565900152734,5.0,6.158436213991769,4.823731331430277
synergy_leenaars_2020,36.0,83.6199564707852,188.60258813895044,18.0,18.620626151012893,5.484990462291849,4.0,5.189229994967287,4.647589917497126
synergy_jeyaraman_2020,37.0,67.5197889182058,94.25440272877563,11.0,11.693051890941073,5.0345527157316585,6.0,6.339489885664028,3.1223519631533865
synergy_van_der_valk_2021,24.0,51.17429837518464,100.6700145209904,9.0,11.454948301329395,7.1841660956527775,6.0,6.337878787878788,3.7314341688489887
synergy_muthu_2021,43.0,80.29204545454546,143.13646259495349,13.0,14.432954545454546,5.187581469095356,6.0,6.354679802955665,3.827498153744746
synergy_sep_2021,38.0,76.39483394833948,115.79001992379912,12.0,13.3690036900369,5.617795676504202,5.0,5.5793357933579335,6.458426674721262
synergy_nelson_2002,62.0,211.69300911854103,966.279506844329,24.0,25.04255319148936,2.510589921516812,5.0,5.451219512195122,6.112907963333064
roadfreight_metareview,22.0,56.928,129.53796155517875,3.0,2.977272727272727,1.4644171864753615,4.0,4.454545454545454,3.9197360021004464
