use_case_key,family,n_papers,positive,prevalence,jasper_dispersion,jasper_cos_brief_auc,qwen4b_dispersion,qwen4b_cos_brief_auc
synergy_brouwer_2019,SYNERGY,38114,62,0.0016266988508159732,0.5353946685791016,0.9938297507994155,0.4203815758228302,0.9933923188302595
synergy_bos_2018,SYNERGY,4877,10,0.002050440844781628,0.6324465870857239,0.9855557838504212,0.5298528075218201,0.9799260324635298
synergy_leenaars_2019,SYNERGY,5812,17,0.0029249827942188574,0.6251198649406433,0.9901233314723646,0.5026430487632751,0.9952393036593412
synergy_wolters_2018,SYNERGY,4278,19,0.004441327723235157,0.5224575400352478,0.9754328295498078,0.41718408465385437,0.9653365628205287
synergy_chou_2004,SYNERGY,1630,9,0.005521472392638037,0.5170639753341675,0.7073137295222427,0.4026733636856079,0.7920350949345396
synergy_chou_2003,SYNERGY,1907,15,0.007865757734661772,0.612268328666687,0.8879844961240311,0.4985209107398987,0.8959478505990134
synergy_van_dis_2020,SYNERGY,9128,72,0.007887817703768623,0.5375351309776306,0.8655150360718492,0.4434323012828827,0.8960771863957597
synergy_radjenovic_2013,SYNERGY,5935,48,0.008087615838247682,0.528205931186676,0.9737026499065737,0.41282200813293457,0.9777121907026782
synergy_van_de_schoot_2018,SYNERGY,4544,38,0.008362676056338027,0.5958136320114136,0.8584752493751022,0.5036222338676453,0.888721470787488
synergy_appenzeller-herzog_2019,SYNERGY,2841,26,0.009151707145371349,0.6210160255432129,0.8763219018991665,0.5362867116928101,0.8952862412897937
synergy_smid_2020,SYNERGY,2627,27,0.010277883517320136,0.5800449252128601,0.9465242165242166,0.4656006097793579,0.9737891737891737
synergy_hall_2012,SYNERGY,8793,104,0.011827590128511315,0.5245326161384583,0.9914126614552441,0.39678895473480225,0.9938870543658206
synergy_wassenaar_2017,SYNERGY,7668,111,0.014475743348982786,0.5495684742927551,0.9359045428914424,0.46211230754852295,0.9496701942116789
synergy_walker_2018,SYNERGY,48343,760,0.015720993732288024,0.4500562846660614,0.899598043087038,0.3493156135082245,0.9171222971052245
synergy_van_der_waal_2022,SYNERGY,1970,33,0.016751269035532996,0.5736364126205444,0.9525977378326371,0.4664859473705292,0.9665211745748659
synergy_oud_2018,SYNERGY,952,20,0.02100840336134454,0.638994574546814,0.8631437768240343,0.5344566702842712,0.8921137339055794
synergy_moran_2021,SYNERGY,5214,111,0.021288837744533946,0.5149884223937988,0.43559873806787386,0.3851219713687897,0.4464499773141749
nykvist_evcharging,EV charging (Nykvist),11853,440,0.037121403864000674,0.6607462763786316,0.8355558454075496,0.5355406403541565,0.8592034203420341
synergy_meijboom_2021,SYNERGY,882,37,0.04195011337868481,0.6506158113479614,0.8873180873180874,0.5763852596282959,0.9147609147609148
synergy_donners_2021,SYNERGY,258,15,0.05813953488372093,0.7055593132972717,0.8282578875171468,0.6105569005012512,0.8559670781893004
synergy_menon_2022,SYNERGY,975,74,0.0758974358974359,0.47095951437950134,0.8185499595044546,0.37831631302833557,0.7569442361340253
synergy_leenaars_2020,SYNERGY,7210,582,0.08072122052704576,0.6732628345489502,0.8330717646888033,0.5447440147399902,0.8634077650372157
synergy_jeyaraman_2020,SYNERGY,1175,96,0.08170212765957446,0.7085956335067749,0.7388882452888478,0.6404154300689697,0.8146238801359282
synergy_van_der_valk_2021,SYNERGY,725,89,0.12275862068965518,0.5733307600021362,0.8463536145855417,0.4590270519256592,0.852748922337644
synergy_muthu_2021,SYNERGY,2719,336,0.12357484369253402,0.5564802885055542,0.7697729952241072,0.4678964912891388,0.7536393701416781
synergy_sep_2021,SYNERGY,271,40,0.14760147601476015,0.6346230506896973,0.5878787878787878,0.49948862195014954,0.6145021645021644
synergy_nelson_2002,SYNERGY,366,80,0.2185792349726776,0.6605756282806396,0.7265734265734266,0.5543020963668823,0.7118006993006993
roadfreight_metareview,Road freight (review-of-reviews),132,103,0.7803030303030303,0.6260017156600952,0.6975225979243387,0.4605580270290375,0.7862403749581519
