id,title,actual_label,predicted_probability,predicted_label
559,Building Resilience: Engineering the Plant Microbiome for Biotic Stress Management,pass,0.978148375482266,positive
732,Editorial: Enhancing plant resilience to abiotic stress through biochar application.,pass,0.9673735675376433,positive
360,"Microbial innovations for climate-resilient agriculture: mechanisms, applications, and emerging technologies.",positive,0.964910101930797,positive
328,Plant Microbiome Engineering: Expected Benefits for Improved Crop Growth and Resilience,positive,0.9644573753618247,positive
684,Microbial management of crop abiotic stress: Current trends and prospects,pass,0.9622428253396338,positive
475,Enhancing crop productivity under stress through plant growth-promoting bacterial consortia: Relevance to sustainable development goals.,pass,0.960399601654532,positive
602,Too Hot to Handle? Unlocking novel plant-microbe interactions under heat stress,pass,0.9597336552262393,positive
278,Seed Biopriming with Potential Microbial Inoculants as Sustainable Options for Stress Management in Crops,positive,0.9584716319542145,positive
345,Soil Microbiome Engineering in Sustainable Agriculture: A Comprehensive Review,positive,0.9571075233315461,positive
327,Microbiome Engineering: Synthetic Biology of Plant-Associated Microbiomes in Sustainable Agriculture,positive,0.9504205016213384,positive
715,Nanobiotechnology-based strategies for enhanced crop stress resilience,positive,0.9456252883048596,positive
466,Synthetic microbiomes in bioengineered rhizospheres: new frontiers for climate-resilient agriculture.,positive,0.9451974903891334,positive
260,Crop Microbiome Engineering and Relevance in Abiotic Stress Tolerance,positive,0.9441965684966325,positive
520,Microbial inoculants: applications as biofertilizer for soil enrichment and crop productivity,pass,0.9402601416362326,positive
337,Artificial intelligence in soil microbiome-driven agriculture: from practical limits to a translational roadmap.,pass,0.93939797971872,positive
678,Plant Growth-Promoting Bacteria (PGPB) with Biofilm-Forming Ability: A Multifaceted Agent for Sustainable Agriculture,positive,0.9380527937519612,positive
340,Organic Fertilizer for Engineering the Soil Microbiome,pass,0.9354558510799661,positive
583,Plant Growth-Promoting Bacteria: Biological Tools for the Mitigation of Salinity Stress in Plants,positive,0.9291671420936005,positive
333,Mitigating abiotic stress: microbiome engineering for improving agricultural production and environmental sustainability,positive,0.9287214935890099,positive
488,Application of Beneficial Bacteria to Enhance Plant Drought Resilience.,positive,0.9279503122991537,positive
525,Bacterial Inoculants: How Can These Microbes Sustain Soil Health and Crop Productivity?,pass,0.9271176738210467,positive
361,Microbial strategies for drought stress mitigation- a sustainable frontier in plant resilience.,positive,0.9238200644829349,positive
501,ACC deaminase in plant growth-promoting bacteria (PGPB): An efficient mechanism to counter salt stress in crops,pass,0.9229543855570533,positive
355,Phytomicrobiome-based approaches for sustainable crop performance and environmental resilience.,positive,0.9215335360277942,positive
294,Microbial inoculants: potential tool for sustainability of agricultural production systems,pass,0.9211966814326744,positive
463,Application of Beneficial Bacteria to Enhance Plant Drought Resilience,pass,0.9191936476314183,positive
358,Plant microbiome engineering: from inoculation to genome editing.,positive,0.9184304498182723,positive
471,Identification of Plant Growth Promoting Rhizobacteria as Biofertilizer for Salt Stress Environment,pass,0.9181822858559312,positive
699,Plant-microbe synergy: employing coastal plant bacteria for wheat prosperity under combined saline and heat stress.,positive,0.9126605928630915,positive
484,A 'Genome-First' Framework for Next-Generation Bioinputs: From Functional Mining to Rational Synthetic Microbial Communities.,positive,0.9086004262988839,positive
214,Emerging crops and plant growth-promoting bacteria (PGPB): a synergistic approach to climate-resilient agriculture,positive,0.9063287661199185,positive
245,Synthetic bacterial community derived from a desert rhizosphere confers salt stress resilience to tomato in the presence of a soil microbiome,positive,0.9049948731680274,positive
298,Application of microbial inoculants significantly enhances crop productivity: A meta‐analysis of studies from 2010 to 2020,positive,0.9034405199816938,positive
331,Towards sustainable agriculture: rhizosphere microbiome engineering,pass,0.9025556552755999,positive
599,Plant-Microbe Interaction and Their Role in Mitigation of Heat Stress,pass,0.9017743074210453,positive
283,Microbial Mutualisms for Sustainable Agriculture: Harnessing Plant Growth-Promoting Bacteria and Microalgae to Enhance Crop Productivity Under Abiotic Stress,positive,0.8988397989656526,positive
562,Soil Salinity and Climate Change: Microbiome-Based Strategies for Mitigation of Salt Stress to Sustainable Agriculture,pass,0.8957535320770496,positive
677,"Comprehensive Review of Microbial Inoculants: Agricultural Applications, Technology Trends in Patents, and Regulatory Frameworks",positive,0.8935647201420833,positive
282,Plant Associated Soil Microbial Communities in Abiotic Stress Resilience: Understanding the Response Mechanism for Sustainable Agriculture,positive,0.8932935312091239,positive
545,Plant Microbiomes Alleviate Abiotic Stress-Associated Damage in Crops and Enhance Climate-Resilient Agriculture,positive,0.8923402882653129,positive
750,Successful Plant Growth-Promoting Microbes: Inoculation Methods and Abiotic Factors,positive,0.892339466671466,positive
191,Editorial: Microbial stress mitigation and crop improvement using multiomics holistic approach.,pass,0.8854086254889726,positive
242,Soil microbiome engineering for sustainability in a changing environment,positive,0.8842596985239293,positive
351,Phyto-Engineering and Microbial-Engineering for Soil Remediation,pass,0.8840782485353279,positive
293,Rhizosphere Microbiome Engineering for Climate-Smart Agriculture: From Synthetic Consortia to Precision Decision Support.,positive,0.8800962883038141,positive
675,Plant Biostimulants to Enhance Abiotic Stress Resilience in Crops,negative,0.8793549280182167,positive
476,Synthetic microbial communities for engineering climate-smart biofertilizers.,positive,0.8701170324459581,positive
497,Mining Halophytes for Plant Growth-Promoting Halotolerant Bacteria to Enhance the Salinity Tolerance of Non-halophytic Crops,positive,0.8666624484954172,positive
299,"Bioencapsulation of Microbial Inoculants: Mechanisms, Formulation Types and Application Techniques",positive,0.8637789553925829,positive
478,Multi-omics and synthetic microbial ecology for engineering climate-resilient phytobiomes in cold-arid agroecosystems: current advances and future perspectives.,pass,0.8624808869442283,positive
615,Nanobiotechnology to advance stress resilience in plants: Current opportunities and challenges.,negative,0.8608561630932101,positive
296,"Microbial Inoculants in Sustainable Agriculture: Advancements, Challenges, and Future Directions",positive,0.8606680517169262,positive
339,Rhizospheric Microbiome Engineering as a Sustainable Tool in Agriculture: Approaches and Challenges,pass,0.8586009149464389,positive
212,Teamwork to Survive in Hostile Soils: Use of Plant Growth-Promoting Bacteria to Ameliorate Soil Salinity Stress in Crops,positive,0.8562735136348331,positive
370,"Microbiome Engineering for Sustainable Rice Production: Strategies for Biofertilization, Stress Tolerance, and Climate Resilience",positive,0.8541561579104295,positive
564,Changes in Plant Microbiome in Response to Abiotic Stress,pass,0.8516339100343291,positive
155,Microbial Augmentation for Soil Restoration and Improved Soil Health,pass,0.8513616807676712,positive
758,"ACC Deaminase Producing Plant Growth Promoting Bacteria: Mechanisms, Stress Mitigation and Prospects for Sustainable Agriculture.",pass,0.8458204793427202,positive
775,Bacterial cell-free supernatants as metabolite-based biostimulants for alleviating salinity stress in plants.,positive,0.844113645818773,positive
259,Role of Plant Microbiome Under Stress Environment to Enhance Crop Productivity,negative,0.840947502921021,positive
505,Revolutionizing Soil Bioremediation: Nanobubble-Driven Enhancement of Microbial Dynamics and Rhizosphere Resilience.,pass,0.8394309463060813,positive
502,Mechanistic Insights of Plant Growth Promoting Bacteria Mediated Drought and Salt Stress Tolerance in Plants for Sustainable Agriculture,positive,0.8390010626086092,positive
768,Amelioration of Soil Salinity Through Plant Growth-Promoting Bacteria: A Sustainable Solution,pass,0.8380857306781638,positive
707,Microbial Resilience in Arid Soils: Ecological Responses to Drought and Salinity Stress.,pass,0.8348584449174176,positive
736,ACC-deaminase producing microbial biostimulants for agriculture and climate resilience: barriers and the way forward.,pass,0.8345559607473991,positive
353,Microbial interventions in rice rhizosphere engineering: from soil microbiome manipulation to yield stability,positive,0.8337078355322117,positive
708,Advancing Climate-Resilient Sorghum: the Synergistic Role of Plant Biotechnology and Microbial Interactions.,pass,0.8332434517269665,positive
695,Whole-genome characterization of halotolerant Enterobacter roggenkampii OSNO4 and its potential for climate-resilient agriculture.,positive,0.8281629475065495,positive
279,Microbe-Mediated Biotic and Abiotic Stress Tolerance in Crop Plants,positive,0.8257673418514188,positive
492,"PGPR-mediated enhancement of soil nutrients, rhizosphere microbial ecology, and plant growth: a review.",positive,0.8218285504216032,positive
451,Plant growth-promoting bacteria for drought tolerance in crops,pass,0.8199299624495415,positive
280,Microbial Interventions in Agriculture and Environment,pass,0.8169069392565543,positive
383,Soil Microbiome Bioengineering for Improvement of Soil Health and Fertility,pass,0.813682384133339,positive
344,Microbial Farming: Harnessing Soil Microbiomes for Sustainable Agriculture,pass,0.8078366774392727,positive
494,The Role of Synthetic Microbial Communities (SynCom) in Sustainable Agriculture,positive,0.8017960680269433,positive
482,Harnessing Plant–Microorganism Interactions to Mitigate Biotic and Abiotic Stresses for Sustainable Crops,pass,0.7995711622431854,positive
381,"Soil Microbiome: Characteristics, Impact of Climate Change and Resilience",pass,0.7963275108942072,positive
673,Phyto-microbiome to mitigate abiotic stress in crop plants,positive,0.7948572962863528,positive
560,Harnessing the Plant Microbiome for Improved Abiotic Stress Tolerance,pass,0.7906082440555413,positive
378,Adaptations and mitigation of soil microbiome for climate resilience,pass,0.7897641317503808,positive
304,Home‐based microbial solution to boost crop growth in low‐fertility soil,positive,0.7828060238801223,positive
586,Plant-microbe interactions: PGPM as microbial inoculants/biofertilizers for sustaining crop productivity and soil fertility,positive,0.7816338800944012,positive
556,Harnessing the functional mechanism of plant–microbiome interaction for abiotic stress management,pass,0.7812265130013638,positive
518,"Microbial inocula enhance effects of biochar amendments on crop productivity, soil health, and microbial communities: A meta‐analysis",negative,0.7764676526729223,positive
516,Wheat (Triticum aestivum) Establishment Methods and Microbial Inoculation for Improving Soil Microbial Properties and Crop Productivity,pass,0.7749755559365082,positive
390,"Review for ""Arrive and wait: Inactive bacterial taxa contribute to perceived soil microbiome resilience after a multidecadal press disturbance""",pass,0.7743369226269342,positive
388,Harnessing Soil Microbiome Diversity for Crop Resilience to Climate Change: A 2-Year Snapshot Study (2024–2026),positive,0.7741448820974304,positive
592,Nanomaterials–plants–microbes interaction: plant growth promotion and stress mitigation,positive,0.772930554992199,positive
493,"Plant Growth Promoting Rhizobacteria (PGPR) as Green Bioinoculants: Recent Developments, Constraints, and Prospects",negative,0.7723160488051152,positive
503,Seed Coating: A Tool for Delivering Beneficial Microbes to Agricultural Crops,positive,0.7719898911097756,positive
688,Use of PGPR to Optimize Soil and Crop Productivity Under Abiotic Stress,pass,0.7695724649458333,positive
263,Plant Growth-Promoting Rhizobacteria and Biochar as Drought Defense Tools: A Comprehensive Review of Mechanisms and Future Directions.,positive,0.7688337513604763,positive
473,Role of Plant Growth-Promoting Rhizobacteria (PGPR) for Crop Stress Management,pass,0.7684360627499116,positive
215,Rhizospheric bacteria as soil health engineer promoting plant growth,pass,0.7671304814861095,positive
334,Harnessing microbial multitrophic interactions for rhizosphere microbiome engineering,pass,0.764798013440746,positive
666,Role of microbial inoculants as bio fertilizers for improving crop productivity: A review,positive,0.7592479971685564,positive
