use_case,stratum,n_spans,n_predicate,n_judgement,n_unclassified,n_classified,checkability,checkability_broad,n_dual_fire,evidence_vocab_n,evidence_computable,n_papers,n_na_abstract,n_with_abstract,evidence_availability,evidence_availability_unitre2
carbon_capture,tiri,17,11,6,0,17,0.6470588235294118,0.6470588235294118,1,0,False,323,0,323,,
cement_binders,tiri,19,19,0,0,19,1.0,1.0,4,2,True,690,0,690,0.2289855072463768,0.23043478260869565
ner,tiri,34,26,7,1,33,0.7878787878787878,0.7878787878787878,4,3,True,541,0,541,0.0036968576709796672,0.0036968576709796672
soil_microbiome,tiri,34,25,9,0,34,0.7352941176470589,0.7352941176470589,2,0,False,602,0,602,,
solar_leo,tiri,20,10,10,0,20,0.5,0.5,3,2,True,427,0,427,0.08430913348946135,0.11007025761124122
tech_forecasting,tiri,29,22,6,1,28,0.7857142857142857,0.7857142857142857,2,0,False,290,0,290,,
nykvist_evcharging,benchset,53,48,5,0,53,0.9056603773584906,0.9056603773584906,16,7,True,11853,0,11853,0.03568716780561883,0.03847127309541888
roadfreight_metareview,benchset,51,45,5,1,50,0.9,0.9,18,6,True,132,8,124,0.008064516129032258,0.008064516129032258
synergy_appenzeller-herzog_2019,benchset,64,49,14,1,63,0.7777777777777778,0.7777777777777778,10,7,True,2841,659,2182,0.23235563703024747,0.24335472043996334
synergy_bos_2018,benchset,48,38,10,0,48,0.7916666666666666,0.7916666666666666,10,3,True,4877,62,4815,0.15742471443406023,0.1588785046728972
synergy_brouwer_2019,benchset,55,39,14,2,53,0.7358490566037735,0.7358490566037735,11,4,True,38114,426,37688,0.11552748885586925,0.11658883464232647
synergy_chou_2003,benchset,56,41,12,3,53,0.7735849056603774,0.7735849056603774,10,6,True,1907,109,1798,0.3342602892102336,0.3781979977753059
synergy_chou_2004,benchset,55,40,12,3,52,0.7692307692307693,0.7692307692307693,10,5,True,1630,189,1441,0.12005551700208189,0.12352532963219987
synergy_donners_2021,benchset,56,44,11,1,55,0.8,0.8,14,6,True,258,8,250,0.22,0.224
synergy_hall_2012,benchset,54,41,13,0,54,0.7592592592592593,0.7592592592592593,16,4,True,8793,0,8793,0.008756965768224724,0.009325599909018538
synergy_jeyaraman_2020,benchset,56,43,11,2,54,0.7962962962962963,0.7962962962962963,10,6,True,1175,2,1173,0.3640238704177323,0.3648763853367434
synergy_leenaars_2019,benchset,57,38,18,1,56,0.6785714285714286,0.6785714285714286,13,5,True,5812,49,5763,0.28995314940135347,0.3088669095956967
synergy_leenaars_2020,benchset,62,45,16,1,61,0.7377049180327869,0.7377049180327869,22,10,True,7210,374,6836,0.19777647747220597,0.1992393212404915
synergy_meijboom_2021,benchset,56,42,13,1,55,0.7636363636363637,0.7636363636363637,13,7,True,882,58,824,0.2682038834951456,0.2682038834951456
synergy_menon_2022,benchset,57,43,12,2,55,0.7818181818181819,0.7818181818181819,17,7,True,975,6,969,0.08771929824561403,0.08875128998968008
synergy_moran_2021,benchset,55,41,14,0,55,0.7454545454545455,0.7454545454545455,12,6,True,5214,43,5171,0.047959775672017015,0.04815316186424289
synergy_muthu_2021,benchset,54,40,13,1,53,0.7547169811320755,0.7547169811320755,14,4,True,2719,24,2695,0.33877551020408164,0.35176252319109463
synergy_nelson_2002,benchset,54,46,7,1,53,0.8679245283018868,0.8679245283018868,7,7,True,366,8,358,0.2346368715083799,0.2346368715083799
synergy_oud_2018,benchset,63,48,13,2,61,0.7868852459016393,0.7868852459016393,9,8,True,952,15,937,0.24332977588046958,0.24439701173959444
synergy_radjenovic_2013,benchset,58,43,15,0,58,0.7413793103448276,0.7413793103448276,11,5,True,5935,0,5935,0.0038753159224936815,0.004549283909014322
synergy_sep_2021,benchset,52,39,12,1,51,0.7647058823529411,0.7647058823529411,16,4,True,271,1,270,0.14814814814814814,0.15555555555555556
synergy_smid_2020,benchset,49,43,6,0,49,0.8775510204081632,0.8775510204081632,13,7,True,2627,110,2517,0.015097338100913786,0.015891934843067144
synergy_van_de_schoot_2018,benchset,51,35,15,1,50,0.7,0.7,8,4,True,4544,71,4473,0.18332215515314107,0.18466353677621283
synergy_van_der_valk_2021,benchset,53,40,12,1,52,0.7692307692307693,0.7692307692307693,7,5,True,725,10,715,0.3048951048951049,0.3062937062937063
synergy_van_der_waal_2022,benchset,54,43,10,1,53,0.8113207547169812,0.8113207547169812,11,5,True,1970,13,1957,0.10884006131834441,0.10986203372508942
synergy_van_dis_2020,benchset,58,45,11,2,56,0.8035714285714286,0.8035714285714286,9,5,True,9128,166,8962,0.2778397679089489,0.28096407051997324
synergy_walker_2018,benchset,52,43,8,1,51,0.8431372549019608,0.8431372549019608,15,5,True,48343,1514,46829,0.07076811377565184,0.07307437698861817
synergy_wassenaar_2017,benchset,49,39,9,1,48,0.8125,0.8125,14,6,True,7668,429,7239,0.04834921950545656,0.05069761016715016
synergy_wolters_2018,benchset,48,37,10,1,47,0.7872340425531915,0.7872340425531915,17,3,True,4278,379,3899,0.19569120287253142,0.19671710695050013
