,carbon_capture,cement_binders,ner,nykvist_evcharging,roadfreight_metareview,soil_microbiome,solar_leo,synergy_appenzeller-herzog_2019,synergy_bos_2018,synergy_brouwer_2019,synergy_chou_2003,synergy_chou_2004,synergy_donners_2021,synergy_hall_2012,synergy_jeyaraman_2020,synergy_leenaars_2019,synergy_leenaars_2020,synergy_meijboom_2021,synergy_menon_2022,synergy_moran_2021,synergy_muthu_2021,synergy_nelson_2002,synergy_oud_2018,synergy_radjenovic_2013,synergy_sep_2021,synergy_smid_2020,synergy_van_de_schoot_2018,synergy_van_der_valk_2021,synergy_van_der_waal_2022,synergy_van_dis_2020,synergy_walker_2018,synergy_wassenaar_2017,synergy_wolters_2018,tech_forecasting
carbon_capture,0.5078376390548864,0.5550191815856778,0.5200030231269209,0.525725,0.5826916638767995,0.4347342448022005,0.4967798466593647,0.7680384615384614,0.6872666666666666,0.6833763440860215,0.5706666666666667,0.5982222222222222,0.446639231824417,0.5183269230769232,0.6136324142724745,0.44298039215686275,0.5340080183276059,0.5066528066528067,0.4686909439961604,0.5493213213213213,0.5518144841269841,0.5196678321678321,0.5567596566523605,0.4534722222222223,0.4982683982683983,0.5227654320987654,0.6258333333333332,0.4672814642074764,0.42181818181818176,0.6801944444444444,0.46086885964912283,0.5369009009009008,0.7343508771929824,0.486368236204536
cement_binders,0.43734485611841506,0.648849104859335,0.5122940494785105,0.540626515151515,0.5135587546032809,0.4456152414853167,0.5584446878422782,0.7633333333333334,0.6973333333333334,0.5476290322580645,0.6103999999999999,0.6565555555555556,0.5639231824417009,0.4882884615384615,0.653300702811245,0.3526666666666667,0.6785664375715923,0.6827122980969135,0.46037435882052974,0.5006066066066066,0.5464255952380952,0.6239947552447553,0.6317328326180258,0.4665555555555556,0.537012987012987,0.5216666666666666,0.7346491228070176,0.5054501448660872,0.4724848484848485,0.6121898148148148,0.44885701754385965,0.408027027027027,0.5955087719298245,0.5075004464551461
ner,0.43513836535809514,0.5268542199488491,0.5763591474782084,0.5219151515151516,0.3734516237027118,0.47540652050804955,0.5155093099671413,0.5929615384615385,0.668,0.5397204301075269,0.5757333333333333,0.3917777777777777,0.27681755829903976,0.6423365384615384,0.528764094840902,0.6393333333333333,0.4680693012600229,0.3502158963697425,0.46235414104448513,0.5905015015015015,0.5208809523809523,0.46136363636363636,0.578969957081545,0.5735277777777777,0.4777056277056278,0.4089259259259259,0.4983859649122807,0.49044237156384707,0.4125252525252525,0.4278333333333334,0.5606175438596491,0.555048048048048,0.4967719298245614,0.45300315494969945
nykvist_evcharging,0.47696975268916064,0.45946291560102304,0.5179120270066004,0.656039393939394,0.49430867090726477,0.5185260092225548,0.5224096385542168,0.6491282051282051,0.6118,0.5216021505376344,0.5764,0.5110370370370371,0.3951989026063101,0.6389711538461538,0.4534580630213161,0.6022352941176471,0.4574329896907216,0.3663041739964817,0.4716531181570027,0.5363543543543544,0.47848214285714286,0.3996503496503496,0.5938304721030043,0.6076944444444444,0.4988095238095238,0.6150617283950617,0.5193684210526315,0.452936188255247,0.45921212121212124,0.5590462962962963,0.5041175438596491,0.5894144144144144,0.563578947368421,0.5303887136139056
roadfreight_metareview,0.4572262572400478,0.4857097186700768,0.5000503854486824,0.5584204545454545,0.6298962169400737,0.5540004853976216,0.48056955093099674,0.5949615384615385,0.6103333333333334,0.39241397849462367,0.5645111111111111,0.6427407407407408,0.31028806584362134,0.4587307692307693,0.5266546957059005,0.41494117647058826,0.47150286368843075,0.4083799776107469,0.5307166211716712,0.6351981981981982,0.5379781746031745,0.4811407342657343,0.3981223175965665,0.42689583333333325,0.42613636363636365,0.5261975308641975,0.45414035087719296,0.5054148116740866,0.4245151515151515,0.4728935185185185,0.46081842105263154,0.6146636636636637,0.602421052631579,0.5088993392463836
soil_microbiome,0.46773007263032085,0.4474424552429668,0.4779311734770999,0.4260030303030303,0.6255440241044526,0.5328047892565326,0.5552245345016429,0.595025641025641,0.7700666666666666,0.4429354838709677,0.5026222222222222,0.5917777777777777,0.1613168724279835,0.6407083333333332,0.4632375656472042,0.3236470588235294,0.43230641466208475,0.37046217815448584,0.42044875063742987,0.6263063063063066,0.4907519841269841,0.4003933566433566,0.5553648068669528,0.5368819444444445,0.5151515151515151,0.528962962962963,0.5656842105263158,0.514062610416225,0.3753333333333333,0.5423981481481481,0.5313359649122807,0.6703633633633633,0.5609473684210526,0.5475325912256682
solar_leo,0.4034200606784959,0.4074808184143223,0.457701415831108,0.4276227272727273,0.5137261466354202,0.5311867971846937,0.5572398685651697,0.7232307692307692,0.4023333333333333,0.550516129032258,0.6066222222222222,0.5780740740740741,0.28559670781893004,0.6135929487179488,0.4237430491195551,0.6032549019607844,0.42822565864833906,0.36804733727810646,0.4662387137414884,0.5985255255255255,0.5129503968253968,0.47150349650349654,0.358637339055794,0.5349027777777777,0.5238095238095238,0.4713827160493827,0.6406315789473683,0.5083562999081337,0.2732121212121212,0.4490092592592593,0.5247767543859648,0.6487387387387387,0.5873684210526315,0.4662777546282517
synergy_appenzeller-herzog_2019,0.5813183782292912,0.46080562659846547,0.5183151105960598,0.531669696969697,0.4273518580515568,0.38633605695332096,0.5418838992332968,0.8852820512820513,0.7282666666666666,0.4679569892473118,0.7547555555555555,0.5655555555555556,0.5742112482853223,0.6047532051282052,0.7203622181031819,0.4392549019607843,0.5557285223367698,0.7557652326883095,0.4280979092299847,0.5663423423423423,0.5630138888888889,0.5829982517482517,0.5461909871244636,0.5355694444444444,0.503030303030303,0.5065925925925926,0.504140350877193,0.5148576072362376,0.5956363636363636,0.6486111111111111,0.43871184210526315,0.6490180180180181,0.5765263157894737,0.43978808262396574
synergy_bos_2018,0.5203870552542061,0.4680306905370844,0.5325741925731848,0.6002333333333333,0.4464345497154335,0.34531995793220616,0.6374151150054765,0.7863333333333333,0.9358,0.565247311827957,0.6564,0.5671111111111111,0.6115226337448558,0.6379391025641026,0.6609032282978066,0.39862745098039215,0.5643213058419244,0.739868862945786,0.6315955244923058,0.5246426426426426,0.5081349206349206,0.5060314685314685,0.5826716738197425,0.5825972222222223,0.513961038961039,0.6550123456790123,0.5584912280701754,0.6877782488870045,0.5401616161616161,0.4709444444444445,0.44683245614035083,0.6288798798798799,0.8097543859649122,0.46324185963450204
synergy_brouwer_2019,0.5027581134503999,0.4234015345268542,0.5254194588602811,0.5711939393939394,0.45580850351523267,0.4415500364048216,0.527579408543264,0.8691282051282051,0.8226666666666667,0.7770752688172043,0.7556888888888889,0.6842962962962963,0.5659807956104252,0.6772019230769231,0.7335399289465555,0.3827843137254902,0.6282004581901489,0.7850951543259236,0.5926748057713652,0.5351891891891892,0.5422559523809524,0.5884178321678322,0.4685622317596566,0.6123472222222224,0.4463203463203463,0.4451111111111111,0.6686491228070175,0.5997986008055969,0.5862626262626263,0.6010277777777777,0.43848070175438597,0.5241441441441441,0.7711228070175439,0.4580034525864635
