use_case,n_pos,n_neg,policy,auc,auc_sd,auc_gain
synergy_brouwer_2019,10,10,hard,0.62192,0.17836859414644096,-0.3756799999999999
synergy_brouwer_2019,10,10,mixed,0.9609066666666667,0.025269484451496908,-0.036693333333333245
synergy_brouwer_2019,10,10,random,0.99236,0.003962176730591933,-0.005239999999999911
synergy_brouwer_2019,10,10,easy,0.9938800000000001,0.0012281150868980917,-0.0037199999999998346
synergy_brouwer_2019,10,20,hard,0.8398533333333333,0.18056510503293696,-0.1577466666666666
synergy_brouwer_2019,10,20,mixed,0.97484,0.0207734274709035,-0.02275999999999989
synergy_brouwer_2019,10,20,random,0.9925466666666665,0.0032439756130060366,-0.005053333333333465
synergy_brouwer_2019,10,20,easy,0.99556,0.0010820556568145918,-0.0020399999999999308
synergy_brouwer_2019,10,50,hard,0.9749066666666666,0.03704941085151617,-0.022693333333333343
synergy_brouwer_2019,10,50,mixed,0.9948666666666666,0.004052105077062507,-0.0027333333333333654
synergy_brouwer_2019,10,50,random,0.9946266666666667,0.0022523469241363765,-0.0029733333333332723
synergy_brouwer_2019,10,50,easy,0.9965733333333333,0.0011505361069229071,-0.0010266666666666202
synergy_brouwer_2019,20,10,hard,0.6926133333333333,0.06690248160154033,-0.30498666666666663
synergy_brouwer_2019,20,10,mixed,0.9823999999999999,0.005275351489079498,-0.015199999999999991
synergy_brouwer_2019,20,10,random,0.9947600000000001,0.001194505941569325,-0.0028399999999998427
synergy_brouwer_2019,20,10,easy,0.9946666666666667,0.000727858350077658,-0.0029333333333332323
synergy_brouwer_2019,20,20,hard,0.9175066666666666,0.04357268461369399,-0.08009333333333335
synergy_brouwer_2019,20,20,mixed,0.9933333333333334,0.0012336035739968292,-0.00426666666666653
synergy_brouwer_2019,20,20,random,0.9956266666666667,0.0018444390896843257,-0.0019733333333332714
synergy_brouwer_2019,20,20,easy,0.99612,0.0006302027892318088,-0.0014799999999999258
synergy_brouwer_2019,20,50,hard,0.9949999999999999,0.002696170123217976,-0.0026000000000000467
synergy_brouwer_2019,20,50,mixed,0.9979066666666666,0.0006089699864890513,0.0003066666666666773
synergy_brouwer_2019,20,50,random,0.9948933333333333,0.001323026832683295,-0.002706666666666635
synergy_brouwer_2019,20,50,easy,0.9973733333333333,0.0005474790711372769,-0.0002266666666665973
synergy_leenaars_2020,10,10,hard,0.5942014492753624,0.06047897602177742,-0.2758927536231882
synergy_leenaars_2020,10,10,mixed,0.7783239130434783,0.05319805087686246,-0.0917702898550724
synergy_leenaars_2020,10,10,random,0.8571260869565218,0.030761756222178135,-0.012968115942028846
synergy_leenaars_2020,10,10,easy,0.8723623188405798,0.01953311483325862,0.0022681159420291364
synergy_leenaars_2020,10,20,hard,0.5525492753623188,0.06461806119985583,-0.31754492753623187
synergy_leenaars_2020,10,20,mixed,0.8234478260869565,0.04349445577610811,-0.046646376811594115
synergy_leenaars_2020,10,20,random,0.8708159420289855,0.023670159845864052,0.0007217391304348286
synergy_leenaars_2020,10,20,easy,0.8761782608695652,0.019108361551986287,0.006084057971014523
synergy_leenaars_2020,10,50,hard,0.6130478260869566,0.08842812602311367,-0.25704637681159404
synergy_leenaars_2020,10,50,mixed,0.8126159420289856,0.046185458721912626,-0.05747826086956509
synergy_leenaars_2020,10,50,random,0.891155072463768,0.014788481072874364,0.021060869565217355
synergy_leenaars_2020,10,50,easy,0.8827913043478262,0.019186107726129286,0.012697101449275494
synergy_leenaars_2020,20,10,hard,0.6023768115942029,0.030258875704761327,-0.2677173913043478
synergy_leenaars_2020,20,10,mixed,0.8348637681159421,0.06567089303471114,-0.035230434782608566
synergy_leenaars_2020,20,10,random,0.8803115942028985,0.02403995615019761,0.010217391304347845
synergy_leenaars_2020,20,10,easy,0.8797536231884058,0.007861357718586776,0.009659420289855114
synergy_leenaars_2020,20,20,hard,0.5508057971014493,0.030913541310191285,-0.3192884057971014
synergy_leenaars_2020,20,20,mixed,0.8440666666666667,0.022876593031232923,-0.02602753623188392
synergy_leenaars_2020,20,20,random,0.8912927536231884,0.014670654209613096,0.02119855072463772
synergy_leenaars_2020,20,20,easy,0.8851985507246377,0.008279558823265767,0.01510434782608705
synergy_leenaars_2020,20,50,hard,0.6150427536231884,0.05540508982174696,-0.2550514492753623
synergy_leenaars_2020,20,50,mixed,0.8524826086956523,0.028385633038404617,-0.017611594202898373
synergy_leenaars_2020,20,50,random,0.907036231884058,0.006501953885319537,0.03694202898550736
synergy_leenaars_2020,20,50,easy,0.8921623188405796,0.0070537537619345505,0.022068115942028954
synergy_moran_2021,10,10,hard,0.4998333333333333,0.009217633169575157,0.012333333333333252
synergy_moran_2021,10,10,mixed,0.5405757575757575,0.015388196853027041,0.05307575757575744
synergy_moran_2021,10,10,random,0.619090909090909,0.04525906197151881,0.13159090909090898
synergy_moran_2021,10,10,easy,0.5155454545454545,0.011326520193236177,0.028045454545454485
synergy_moran_2021,10,20,hard,0.5153787878787879,0.007651215115629582,0.027878787878787836
