arm,use_case,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
"LEAN (cos_brief + rank + lexical + metadata, no embeddings)",carbon_capture,0.18639455782312925,0.3510204081632653,0.16279461279461277,0.8080725623582767,0.4797979797979798
EMBEDDING only (qwen3-8b),carbon_capture,0.19319727891156463,0.3700680272108844,0.2759259259259259,0.8965714285714286,0.4797979797979798
ALL (embedding + lean),carbon_capture,0.19183673469387755,0.3700680272108844,0.28063973063973063,0.8987301587301587,0.4797979797979798
"LEAN (cos_brief + rank + lexical + metadata, no embeddings)",cement_binders,0.1411764705882353,0.28941176470588237,0.2225190839694656,0.9156521739130437,0.333587786259542
EMBEDDING only (qwen3-8b),cement_binders,0.14470588235294118,0.29294117647058826,0.20190839694656484,0.8950511508951406,0.333587786259542
ALL (embedding + lean),cement_binders,0.1458823529411765,0.2952941176470588,0.20877862595419844,0.8964961636828643,0.333587786259542
"LEAN (cos_brief + rank + lexical + metadata, no embeddings)",ner,0.12825112107623315,0.2556053811659193,0.08141025641025637,0.7790094220789037,0.2709935897435897
EMBEDDING only (qwen3-8b),ner,0.13632286995515694,0.2663677130044843,0.1025641025641025,0.8447573940645942,0.2709935897435897
ALL (embedding + lean),ner,0.13632286995515694,0.2672645739910314,0.10128205128205123,0.8453771350833879,0.2709935897435897
"LEAN (cos_brief + rank + lexical + metadata, no embeddings)",soil_microbiome,0.17659574468085104,0.33191489361702126,0.028431372549019562,0.6677695979289702,0.6998599439775911
EMBEDDING only (qwen3-8b),soil_microbiome,0.24680851063829787,0.41914893617021276,0.12422969187675066,0.7550036404821616,0.6998599439775911
ALL (embedding + lean),soil_microbiome,0.24680851063829787,0.42340425531914894,0.11694677871148454,0.7557398268748483,0.6998599439775911
"LEAN (cos_brief + rank + lexical + metadata, no embeddings)",solar_leo,0.12318840579710144,0.24855072463768116,0.06666666666666662,0.8049085576259489,0.2216666666666666
EMBEDDING only (qwen3-8b),solar_leo,0.12608695652173912,0.24855072463768116,0.05166666666666662,0.7960705659075225,0.2216666666666666
ALL (embedding + lean),solar_leo,0.12608695652173912,0.25,0.05777777777777774,0.8039510006901311,0.2216666666666666
"LEAN (cos_brief + rank + lexical + metadata, no embeddings)",tech_forecasting,0.14012738853503184,0.2624203821656051,0.046969696969696925,0.6517768914816358,0.38503787878787876
EMBEDDING only (qwen3-8b),tech_forecasting,0.16305732484076432,0.3159235668789809,0.15227272727272725,0.8248110006548008,0.38503787878787876
ALL (embedding + lean),tech_forecasting,0.16305732484076432,0.3146496815286624,0.14999999999999997,0.8251919757128402,0.38503787878787876
mean of arms,carbon_capture,0.19319727891156463,0.3700680272108844,0.24831649831649832,0.8934875283446712,0.4797979797979798
max of arms (union-flavoured),carbon_capture,0.19319727891156463,0.3700680272108844,0.22272727272727266,0.887673469387755,0.4797979797979798
mean of arms,cement_binders,0.13999999999999999,0.28941176470588237,0.2270992366412213,0.9141815856777494,0.333587786259542
max of arms (union-flavoured),cement_binders,0.14470588235294118,0.29411764705882354,0.2278625954198473,0.9042071611253197,0.333587786259542
mean of arms,ner,0.12825112107623318,0.2556053811659193,0.10769230769230767,0.8402378193177811,0.2709935897435897
max of arms (union-flavoured),ner,0.13632286995515694,0.2654708520179372,0.10961538461538459,0.8467728120118909,0.2709935897435897
mean of arms,soil_microbiome,0.23829787234042552,0.4085106382978723,0.05924369747899155,0.7548337513146185,0.6998599439775911
max of arms (union-flavoured),soil_microbiome,0.24680851063829787,0.4085106382978723,0.0586834733893557,0.7476660464363725,0.6998599439775911
mean of arms,solar_leo,0.127536231884058,0.25362318840579706,0.07277777777777773,0.8419772256728779,0.2216666666666666
max of arms (union-flavoured),solar_leo,0.12463768115942028,0.24710144927536232,0.06666666666666662,0.8037870945479642,0.2216666666666666
mean of arms,tech_forecasting,0.15414012738853503,0.2878980891719745,0.11969696969696966,0.7916185487231384,0.38503787878787876
max of arms (union-flavoured),tech_forecasting,0.16305732484076432,0.3159235668789809,0.09696969696969693,0.8041431037561761,0.38503787878787876
