model,use_case,auc|supplied,wss95|supplied,recall@10%|supplied,auc|induced,wss95|induced,recall@10%|induced
qwen4b,brouwer_2019,0.9975999999999999,0.9417402599717479,1.0,0.9962666666666666,0.9251014442379761,1.0
qwen4b,leenaars_2020,0.8700942028985507,0.4859202682563345,0.43043478260869567,0.8833478260869564,0.4889679582712375,0.4912173913043479
qwen4b,moran_2021,0.48750000000000004,-0.018039006404045398,0.13636363636363635,0.45363636363636367,-0.032718804579865764,0.13636363636363635
qwen4b,muthu_2021,0.7283955223880596,0.25174789186507746,0.20535820895522325,0.751728855721393,0.2605016121031727,0.23134328358208955
qwen4b,nelson_2002,0.7131193693693694,0.25769230769230766,0.21875,0.7649211711711712,0.3066433566433566,0.1875
qwen4b,sep_2021,0.6175271739130435,0.014814814814814767,0.30000000000000004,0.6148097826086956,-0.01296296296296301,0.3125
qwen4b,van_der_valk_2021,0.8805507745266782,0.4323943661971831,0.42857142857142855,0.8634538152610441,0.46760563380281683,0.35428571428571437
qwen4b,van_dis_2020,0.8970114942528735,0.6495614476701912,0.5862068965517241,0.896264367816092,0.634683112379035,0.5517241379310345
jasper,brouwer_2019,0.9982666666666666,0.9317569705314849,1.0,0.9968,0.933420852104862,1.0
jasper,leenaars_2020,0.8470217391304349,0.3502980625931478,0.4043478260869565,0.835231884057971,0.3030588673621502,0.43043478260869567
jasper,moran_2021,0.49678030303030307,-0.004990296914427393,0.11363636363636363,0.4779924242424242,-0.013145740345438757,0.06818181818181818
jasper,muthu_2021,0.7671144278606966,0.292598586309522,0.291044776119403,0.7707587064676618,0.2415352182539663,0.3107164179104472
jasper,nelson_2002,0.7198761261261262,0.2996503496503496,0.15625,0.7398648648648649,0.32762237762237756,0.15625
jasper,sep_2021,0.5822010869565217,-0.0037037037037037507,0.1875,0.561141304347826,-0.022222222222222268,0.30000000000000004
jasper,van_der_valk_2021,0.8767641996557659,0.32323943661971827,0.4971428571428572,0.8594377510040161,0.4323943661971831,0.4
jasper,van_dis_2020,0.8595402298850576,0.5569851391918859,0.3793103448275862,0.8654597701149425,0.5354942104379935,0.5076321839080563
