model,variant,arm,use_case,n,auc,wss95,tie_frac,recall@10%,t_star,f2_star,f2_own,recall_own,precision_own,screened_own,coverage,floor_f2
gemma-4-31b-it,P1,B1 supplied,brouwer_2019,1562,0.8399462365591398,0.09317594003725402,0.998719590268886,0.746232214390954,0.76,0.5827266860765012,0.5525929053044937,0.5967741935483871,0.426339320007989,0.0023204014152919264,1.0,0.008233950436930596
gemma-4-31b-it,P1,B1 supplied,leenaars_2020,2076,0.7376493055555555,0.37199886499459467,0.9995183044315993,0.2503563709552148,0.060000000000000005,0.4450478026164968,0.0,0.0,0.0,0.0,1.0,0.31946755407653904
gemma-4-31b-it,P1,B1 supplied,moran_2021,1611,0.41143843843843847,-0.01759615438691227,1.0,0.06333834102524144,0.01,0.06376640846332063,0.03094260456279647,0.036036036036036036,0.019766947686772944,0.03926232052774543,1.0,0.09914255091103961
gemma-4-31b-it,P1,B1 supplied,muthu_2021,1834,0.6415329341317365,0.02733869611187177,0.9989094874591058,0.22824409179795402,0.060000000000000005,0.43200055296070783,0.0,0.0,0.0,0.0005837985361617665,1.0,0.41511309967685805
gemma-4-31b-it,P1,B1 supplied,nelson_2002,358,0.7529676258992806,0.13808193668528854,0.994413407821229,0.29250000000000004,0.01,0.6412478336221836,0.4712041884816754,0.45,0.5806451612903226,0.17318435754189945,1.0,0.5899705014749262
gemma-4-31b-it,P1,B1 supplied,sep_2021,270,0.8834782608695653,0.10925925925925922,1.0,0.4375,0.31,0.7563025210084034,0.7345971563981043,0.775,0.6078431372549019,0.18888888888888888,1.0,0.46511627906976744
gemma-4-31b-it,P1,B1 supplied,van_der_valk_2021,710,0.8419401856054316,0.43873239436619715,0.9985915492957746,0.43021346469622335,0.060000000000000005,0.5836849507735584,0.45130641330166266,0.4367816091954023,0.5205479452054794,0.1028169014084507,1.0,0.41115311909262764
gemma-4-31b-it,P1,B1 supplied,van_dis_2020,1572,0.9601157407407408,0.7663753263220705,0.9993638676844784,0.9303614051576966,0.66,0.4291031292910314,0.42465456547587677,0.8055555555555556,0.1468696506528103,0.044183038711121045,1.0,0.03902016041621504
gemma-4-31b-it,P2,B1 supplied,brouwer_2019,1562,0.9375967741935484,0.39484170209352687,1.0,0.8679296620606128,0.86,0.618374558303887,0.2817609792861595,0.7903225806451613,0.07883753782324732,0.016618040515850734,1.0,0.008233950436930596
gemma-4-31b-it,P2,B1 supplied,leenaars_2020,2076,0.7579837962962963,0.3321538188953906,1.0,0.33831580428125796,0.060000000000000005,0.42795963162666406,0.02977811053634631,0.024305555555555556,0.2996575342465754,0.006961704663984501,1.0,0.31946755407653904
