model,variant,t_star,f2_train,auc_train,f2own_train,f2_test,auc_test,f2own_test,f2_validate,auc_validate,f2own_validate,oracle_train_minus_test,lift_over_all_pos,pos_rate_at_t
gemma-4-31b-it,P1,0.06,0.877905348641837,0.7139938000259163,0.49250170415814587,0.8739495798319328,0.7163235825207657,0.5,0.8704793944491169,0.7082731431322979,0.5130784708249497,0.003955768809904225,0.002,0.9159891598915989
gemma-4-31b-it,P2,0.11,0.878512631280159,0.716990786426509,0.8382266588373458,0.8760683760683761,0.7311755146262188,0.8088888888888889,0.8660409556313993,0.7036836403033586,0.8281938325991189,0.002444255211782931,0.004,0.8617886178861789
gemma-4-31b-it,P2lp,0.01,0.796168811733014,0.7347849778548622,0.7775768535262206,0.8001808318264014,0.7281509570241964,0.7741347905282332,0.7991071428571429,0.7086192367882509,0.7868705035971223,-0.004012020093387414,-0.072,0.6883468834688347
gemma-4-31b-it,P4,0.01,0.8860406798551128,0.6833610770544475,0.4243800209570381,0.8848080133555927,0.6913446490911279,0.4416403785488959,0.8752093802345059,0.6941434934392681,0.47987616099071206,0.0012326664995201408,0.013,0.9376693766937669
nemotron-3-super-120b-a12b,P1,0.06,0.8788133221382591,0.7286132458824662,0.6044314108830238,0.864406779661017,0.7091759961478271,0.5780632411067194,0.8776371308016878,0.7101841820151679,0.5994152046783626,0.014406542477242157,-0.008,0.8888888888888888
nemotron-3-super-120b-a12b,P2,0.06,0.8826800111203781,0.7279287900082732,0.63662604233483,0.8848080133555927,0.7304381846635367,0.6431334622823984,0.8862876254180602,0.7130131214638256,0.6530028598665396,-0.0021280022352145878,0.013,0.9376693766937669
nemotron-3-super-120b-a12b,P4,0.06,0.8815350389321468,0.7207510292204744,0.48637461193515,0.875,0.7012007945106538,0.4840370751802266,0.87893864013267,0.7112074154327676,0.5577889447236181,0.006535038932146797,0.003,0.943089430894309
gpt-oss-20b,P1,0.01,0.8308995327102804,0.7167150105160331,0.43752187609380466,0.8369851007887817,0.7238774527506922,0.4483837330552659,0.8369851007887817,0.7312958950282894,0.41578947368421054,-0.006085568078501358,-0.035,0.7831978319783198
gpt-oss-20b,P2,0.06,0.8645533141210374,0.7292445401353628,0.5396290050590219,0.849956634865568,0.7452600216684724,0.5645161290322581,0.8742463393626184,0.755462260743951,0.5773092369477911,0.01459667925546937,-0.022,0.8157181571815718
gpt-oss-20b,P2lp,0.01,0.5479918311776719,0.7010306709328868,0.5479918311776719,0.5300713557594292,0.693827494883833,0.5300713557594292,0.5279187817258884,0.687206572769953,0.5279187817258884,0.01792047541824271,-0.342,0.34959349593495936
gpt-oss-20b,P4,0.06,0.8026315789473685,0.6837979991294785,0.2549889135254989,0.810692375109553,0.667554472131937,0.2692307692307692,0.8376511226252159,0.6805555555555556,0.24282560706401765,-0.00806079616218458,-0.061,0.7831978319783198
qwen3.5-397b-a17b,P1,0.06,0.8811188811188811,0.759232678448611,0.4433497536945813,0.8788898233809924,0.7706000963043216,0.4607329842931937,0.8776371308016878,0.7340195016251355,0.4397905759162304,0.002229057737888729,0.007,0.9132791327913279
qwen3.5-397b-a17b,P2,0.06,0.8813654168998322,0.7499061365123983,0.822614418187257,0.8788898233809924,0.7669736366919466,0.8295964125560538,0.8719460825610783,0.7332821716624534,0.8265947888589398,0.002475593518839747,0.007,0.9132791327913279
qwen3.5-397b-a17b,P2lp,0.01,0.8859326351542598,0.7415630845701716,0.5780632411067194,0.873083475298126,0.7485253400746359,0.5970149253731343,0.8723404255319149,0.7293547610449019,0.632295719844358,0.012849159856133774,0.001,0.8726287262872628
qwen3.5-397b-a17b,P4,0.06,0.8801235261089275,0.6892287910050536,0.2922908293752284,0.8677337826453243,0.7009901288070302,0.26373626373626374,0.8741554054054054,0.694399301793668,0.2886710239651416,0.01238974346360322,-0.004,0.907859078590786
