encoder,use_case,baseline,prose_only,gain
jasper,carbon_capture,0.7514939781189666,0.8070239955870185,0.05553001746805197
jasper,cement_binders,0.8282608695652174,0.8181585677749361,-0.010102301790281265
jasper,ner,0.7735174081725199,0.7390537612737441,-0.03446364689877579
jasper,soil_microbiome,0.6027829463635628,0.6095380632634899,0.006755116899927138
jasper,solar_leo,0.5289813800657175,0.548565169769989,0.019583789704271548
jasper,tech_forecasting,0.6724805047919521,0.6671230430382761,-0.005357461753676018
qwen4b,carbon_capture,0.7987956237933254,0.8149305874781649,0.016134963684839576
qwen4b,cement_binders,0.8341432225063938,0.8368286445012787,0.0026854219948848623
qwen4b,ner,0.7513478107522547,0.7731143245830605,0.021766513830805856
qwen4b,soil_microbiome,0.5195372542674541,0.5113663943046679,-0.008170859962786214
qwen4b,solar_leo,0.5919824753559694,0.6206790799561883,0.028696604600218945
qwen4b,tech_forecasting,0.6289660098815406,0.6287874278230847,-0.00017858205845588948
qwen8b,carbon_capture,0.7264870828353405,0.789923692194539,0.06343660935919848
qwen8b,cement_binders,0.8428388746803069,0.8498721227621484,0.00703324808184147
qwen8b,ner,0.7224769486572278,0.7671688416385348,0.044691892981307046
qwen8b,soil_microbiome,0.5274249656176685,0.5118517919262195,-0.01557317369144895
qwen8b,solar_leo,0.5171084337349399,0.565695509309967,0.04858707557502717
qwen8b,tech_forecasting,0.6390856598607061,0.6477766533722246,0.008690993511518474
