encoder,use_case,n,n_pos,d_auc,pos_rank_shift,neg_rank_shift,share_pos_up,d_recall_at_10pct
jasper,carbon_capture,295,146,0.05553001746805197,0.028047364755049913,-0.027482652713001928,0.5068493150684932,0.00684931506849315
jasper,cement_binders,262,170,-0.010102301790281265,-0.0035473731477323766,0.006554928642548955,0.4117647058823529,-0.0058823529411764774
jasper,ner,312,223,-0.03446364689877579,-0.009830976198689202,0.02463267070008643,0.4125560538116592,-0.008968609865470878
jasper,soil_microbiome,357,94,0.006755116899927138,0.004976458668573818,-0.0017786582313533813,0.44680851063829785,-0.021276595744680854
jasper,solar_leo,358,275,0.019583789704271548,0.004540375825292027,-0.015043413878979605,0.4618181818181818,-0.003636363636363632
jasper,tech_forecasting,264,157,-0.005357461753676018,-0.002171395483497391,0.003186066270178417,0.4713375796178344,-0.01273885350318471
qwen4b,carbon_capture,295,146,0.016134963684839576,0.008149524030647781,-0.007985439654191786,0.4452054794520548,-0.00684931506849315
qwen4b,cement_binders,262,170,0.0026854219948848623,0.0009429726088908856,-0.0017424493859940283,0.5176470588235295,0.011764705882352927
qwen4b,ner,312,223,0.021766513830805856,0.006209037599172128,-0.015557476231633534,0.5022421524663677,0.0
qwen4b,soil_microbiome,357,94,-0.008170859962786214,-0.006019429048215028,0.0021514309145711508,0.39361702127659576,-0.021276595744680854
qwen4b,solar_leo,358,275,0.028696604600218945,0.006653123412899949,-0.022043481187319112,0.4690909090909091,0.007272727272727264
qwen4b,tech_forecasting,264,157,-0.00017858205845588948,-7.23798494499145e-05,0.00010620220900594905,0.4585987261146497,-0.006369426751592355
qwen8b,carbon_capture,295,146,0.06343660935919848,0.03204086371023915,-0.03139574564895916,0.6575342465753424,0.0
qwen8b,cement_binders,262,170,0.00703324808184147,0.002469690166142794,-0.004563557915698642,0.4823529411764706,0.00588235294117645
qwen8b,ner,312,223,0.044691892981307046,0.012748648959411297,-0.0319432440218957,0.5201793721973094,0.00896860986547085
qwen8b,soil_microbiome,357,94,-0.01557317369144895,-0.0114726741760534,0.004100499515395511,0.4787234042553192,0.0
qwen8b,solar_leo,358,275,0.04858707557502717,0.011264601320467244,-0.03732247425456014,0.44363636363636366,0.0
qwen8b,tech_forecasting,264,157,0.008690993511518474,0.0035224860065624394,-0.005168507504956101,0.5095541401273885,0.0
