variant,use_case,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling,wss_sd
lexical only (Tier 1b),carbon_capture,0.1687074829931973,0.3360544217687075,0.07121212121212116,0.7616054421768708,0.4797979797979798,0.017002533566266124
lexical only (Tier 1b),cement_binders,0.14941176470588238,0.291764705882353,0.20343511450381677,0.8814066496163683,0.333587786259542,0.009952980771301747
lexical only (Tier 1b),ner,0.11210762331838567,0.23856502242152464,0.05641025641025636,0.7171864765455738,0.2709935897435897,0.005733507634614844
lexical only (Tier 1b),soil_microbiome,0.1808510638297872,0.31063829787234043,0.037394957983193235,0.6793544211633364,0.6998599439775911,0.016500477843163185
lexical only (Tier 1b),solar_leo,0.11666666666666665,0.2253623188405797,0.007777777777777733,0.6098775017253278,0.2216666666666666,0.00691661088777152
lexical only (Tier 1b),tech_forecasting,0.12738853503184713,0.2662420382165605,0.03484848484848481,0.6574796118816596,0.38503787878787876,0.011857936244317068
jasper: cosine-to-brief (0 labels),carbon_capture,0.17006802721088435,0.3129251700680272,0.12508417508417505,0.7509750566893424,0.4797979797979797,
jasper: cosine-to-brief (0 labels),cement_binders,0.12352941176470589,0.25882352941176473,0.2057251908396946,0.8282608695652174,0.333587786259542,
jasper: cosine-to-brief (0 labels),ner,0.13901345291479822,0.2600896860986547,0.08461538461538456,0.7735174081725199,0.2709935897435897,
jasper: cosine-to-brief (0 labels),soil_microbiome,0.1702127659574468,0.3191489361702128,-0.007983193277310965,0.6027829463635628,0.6998599439775911,
jasper: cosine-to-brief (0 labels),solar_leo,0.11956521739130435,0.21739130434782608,0.005555555555555508,0.5277777777777778,0.2216666666666666,
jasper: cosine-to-brief (0 labels),tech_forecasting,0.14012738853503184,0.25477707006369427,0.07878787878787874,0.6724805047919521,0.38503787878787876,
jasper: embedding,carbon_capture,0.2,0.3727891156462585,0.253030303030303,0.8893786848072563,0.4797979797979798,0.039980949788006453
jasper: embedding,cement_binders,0.1411764705882353,0.28470588235294114,0.19198473282442743,0.8649936061381075,0.333587786259542,0.01031240922603534
jasper: embedding,ner,0.12376681614349776,0.2547085201793721,0.08397435897435893,0.799042676475034,0.2709935897435897,0.00972163518468148
jasper: embedding,soil_microbiome,0.24468085106382978,0.41063829787234046,0.15616246498599434,0.7580373756168595,0.6998599439775911,0.019059972925718767
jasper: embedding,solar_leo,0.12681159420289856,0.25,0.04999999999999995,0.7816770186335404,0.2216666666666666,0.012576923802968631
jasper: embedding,tech_forecasting,0.15414012738853503,0.310828025477707,0.1439393939393939,0.8295434252038811,0.38503787878787876,0.010846834138845721
jasper: embedding PCA-64,carbon_capture,0.19047619047619047,0.36462585034013606,0.18771043771043766,0.8586938775510206,0.4797979797979798,0.04058600998061727
jasper: embedding PCA-64,cement_binders,0.12941176470588237,0.2635294117647059,0.17977099236641217,0.833171355498721,0.333587786259542,0.006271632337845414
jasper: embedding PCA-64,ner,0.1309417040358744,0.2556053811659193,0.08846153846153842,0.8052199324834988,0.2709935897435897,0.023267553093437872
jasper: embedding PCA-64,soil_microbiome,0.3,0.4723404255319149,0.14439775910364144,0.7938111803252165,0.6998599439775911,0.028262180964995942
jasper: embedding PCA-64,solar_leo,0.12101449275362319,0.24202898550724639,0.035555555555555514,0.7486801242236024,0.2216666666666666,0.013944333775567922
jasper: embedding PCA-64,tech_forecasting,0.1503184713375796,0.30318471337579617,0.15757575757575754,0.8354068694565153,0.38503787878787876,0.020468569827433787
jasper: PCA-64 + lexical,carbon_capture,0.19727891156462585,0.3755102040816326,0.21397306397306393,0.8684444444444445,0.4797979797979798,0.044769751215069806
jasper: PCA-64 + lexical,cement_binders,0.13999999999999999,0.2788235294117647,0.19885496183206103,0.8637979539641943,0.333587786259542,0.009112470523903292
jasper: PCA-64 + lexical,ner,0.13183856502242153,0.2618834080717488,0.08333333333333329,0.8140575401823954,0.2709935897435897,0.01849556159776091
jasper: PCA-64 + lexical,soil_microbiome,0.28085106382978725,0.44468085106382976,0.1449579831932773,0.7835773804708357,0.6998599439775911,0.02297943339158956
jasper: PCA-64 + lexical,solar_leo,0.12463768115942028,0.24927536231884057,0.03944444444444439,0.7557194616977226,0.2216666666666666,0.009899183156225256
jasper: PCA-64 + lexical,tech_forecasting,0.15286624203821655,0.2917197452229299,0.1651515151515151,0.8214298470147032,0.38503787878787876,0.02166057341741788
qwen3-4b: cosine-to-brief (0 labels),carbon_capture,0.17687074829931973,0.32653061224489793,0.16212121212121208,0.7980498866213153,0.4797979797979797,
qwen3-4b: cosine-to-brief (0 labels),cement_binders,0.12352941176470589,0.2529411764705882,0.21717557251908393,0.8341432225063938,0.333587786259542,
qwen3-4b: cosine-to-brief (0 labels),ner,0.13452914798206278,0.2600896860986547,0.06858974358974354,0.7513478107522547,0.2709935897435897,
qwen3-4b: cosine-to-brief (0 labels),soil_microbiome,0.11702127659574468,0.2553191489361702,-0.019187675070028054,0.5195372542674541,0.6998599439775911,
qwen3-4b: cosine-to-brief (0 labels),solar_leo,0.11956521739130435,0.2210144927536232,0.01666666666666662,0.5888112491373361,0.2216666666666666,
qwen3-4b: cosine-to-brief (0 labels),tech_forecasting,0.1464968152866242,0.25477707006369427,0.033333333333333284,0.628906482528722,0.38503787878787876,
qwen3-4b: embedding,carbon_capture,0.19455782312925168,0.3727891156462585,0.2449494949494949,0.887265306122449,0.4797979797979798,0.02253629701101887
