use_case,check,severity,kind,what,cost,fix
bench/nykvist_evcharging,—,clean,,No findings.,,
bench/roadfreight_metareview,—,clean,,No findings.,,
bench/synergy_appenzeller-herzog_2019,—,clean,,No findings.,,
bench/synergy_bos_2018,—,clean,,No findings.,,
bench/synergy_brouwer_2019,—,clean,,No findings.,,
bench/synergy_chou_2003,—,clean,,No findings.,,
bench/synergy_chou_2004,—,clean,,No findings.,,
bench/synergy_donners_2021,—,clean,,No findings.,,
bench/synergy_hall_2012,—,clean,,No findings.,,
bench/synergy_jeyaraman_2020,—,clean,,No findings.,,
bench/synergy_leenaars_2019,—,clean,,No findings.,,
bench/synergy_leenaars_2020,—,clean,,No findings.,,
bench/synergy_meijboom_2021,—,clean,,No findings.,,
bench/synergy_menon_2022,—,clean,,No findings.,,
bench/synergy_moran_2021,—,clean,,No findings.,,
bench/synergy_muthu_2021,—,clean,,No findings.,,
bench/synergy_nelson_2002,—,clean,,No findings.,,
bench/synergy_oud_2018,—,clean,,No findings.,,
bench/synergy_radjenovic_2013,—,clean,,No findings.,,
bench/synergy_sep_2021,—,clean,,No findings.,,
bench/synergy_smid_2020,—,clean,,No findings.,,
bench/synergy_van_de_schoot_2018,—,clean,,No findings.,,
bench/synergy_van_der_valk_2021,—,clean,,No findings.,,
bench/synergy_van_der_waal_2022,—,clean,,No findings.,,
bench/synergy_van_dis_2020,—,clean,,No findings.,,
bench/synergy_walker_2018,—,clean,,No findings.,,
bench/synergy_wassenaar_2017,—,clean,,No findings.,,
bench/synergy_wolters_2018,—,clean,,No findings.,,
