variant,use_case,unfitted_bm25_nice,unfitted_bm25_obj,unfitted_overlap_must_frac,fitted_auc
full,nykvist_evcharging,0.6711695075757574,0.6459848484848485,0.6136221590909091,0.7467102272727273
full,synergy_hall_2012,0.8804471544715448,0.888170731707317,0.8440650406504066,0.9654227642276423
full,synergy_jeyaraman_2020,0.5498547613033594,0.8129578176307148,0.6611518060116192,0.7373074008588028
full,synergy_menon_2022,0.5350093109869647,0.514245810055866,0.4925512104283054,0.5628677839851024
full,synergy_radjenovic_2013,0.9687962962962963,0.913148148148148,0.8506944444444444,0.9636666666666667
full,synergy_walker_2018,0.7033054522924412,0.6722118959107807,0.785638166047088,0.8090743494423791
full,synergy_wassenaar_2017,0.6941865079365079,0.8953968253968254,0.8572420634920634,0.9296428571428572
no_obj,nykvist_evcharging,0.6711695075757574,0.5,0.6136221590909091,0.7471022727272728
no_obj,synergy_hall_2012,0.8804471544715448,0.5,0.8440650406504066,0.9577886178861789
no_obj,synergy_jeyaraman_2020,0.5498547613033594,0.5,0.6611518060116192,0.6857792371811063
no_obj,synergy_menon_2022,0.5350093109869647,0.5,0.4925512104283054,0.5708938547486033
no_obj,synergy_radjenovic_2013,0.9687962962962963,0.5,0.8506944444444444,0.9628888888888888
no_obj,synergy_walker_2018,0.7033054522924412,0.5,0.785638166047088,0.8180061957868651
no_obj,synergy_wassenaar_2017,0.6941865079365079,0.5,0.8572420634920634,0.9227777777777776
no_prob,nykvist_evcharging,0.6711695075757574,0.6459848484848485,0.6136221590909091,0.7328636363636364
no_prob,synergy_hall_2012,0.8804471544715448,0.888170731707317,0.8440650406504066,0.9658130081300815
no_prob,synergy_jeyaraman_2020,0.5498547613033594,0.8129578176307148,0.6611518060116192,0.7450492548623391
no_prob,synergy_menon_2022,0.5350093109869647,0.514245810055866,0.4925512104283054,0.5629981378026071
no_prob,synergy_radjenovic_2013,0.9687962962962963,0.913148148148148,0.8506944444444444,0.9718703703703703
no_prob,synergy_walker_2018,0.7033054522924412,0.6722118959107807,0.785638166047088,0.8110594795539035
