variant,review,n_labels,pct_draws_unusable,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
lexical only (Tier 1b),Sep_2021,25,0.05,0.11051915919745632,0.21322294308162676,-0.00421480530594784,0.5072731918508195,0.8092479674796751
lexical only (Tier 1b),Sep_2021,50,0.0,0.1310068719006034,0.24021864245434169,0.00701357466063344,0.5308412092931042,0.8098642533936651
lexical only (Tier 1b),Sep_2021,100,0.0,0.1508362271647504,0.26849031754935054,0.0380116959064327,0.5437477308044105,0.8079166666666667
lexical only (Tier 1b),Sep_2021,200,0.0,0.1841657647907648,0.3090477577977578,0.04507042253521122,0.5560569132109588,0.8054929577464789
lexical only (Tier 1b),Menon_2022,25,0.15,0.09359267878876669,0.1962757915912176,0.03058823529411761,0.5063118705392905,0.8782941176470588
lexical only (Tier 1b),Menon_2022,50,0.0,0.08518057003299209,0.17841265920100988,0.0319459459459459,0.5019117228933553,0.8779797297297296
lexical only (Tier 1b),Menon_2022,100,0.0,0.0844916132959537,0.18799621725936086,0.037628571428571386,0.5098998723340428,0.8776371428571427
lexical only (Tier 1b),Menon_2022,200,0.0,0.09266215437190455,0.20415128255396767,0.03564516129032254,0.5148438898990069,0.8774629032258063
lexical only (Tier 1b),van_der_Waal_2022,25,0.575,0.2744900379506641,0.4366105313092979,0.078050809012551,0.6636314654994269,0.9343989112354453
lexical only (Tier 1b),van_der_Waal_2022,50,0.275,0.29015804597701156,0.46741981831664814,0.10339439655172407,0.6833696367589445,0.9343202227011493
lexical only (Tier 1b),van_der_Waal_2022,100,0.225,0.31605853875871637,0.5019836855765665,0.08270657236501633,0.6931367565326451,0.9342349491116093
lexical only (Tier 1b),van_der_Waal_2022,200,0.05,0.3015113397989474,0.4986380822746522,0.06916443651501632,0.6837625637669659,0.9340677966101695
lexical — SHUFFLED briefs (control),Sep_2021,25,0.05,0.1135987511738509,0.21652646071033743,0.03279845956354296,0.5349629735786181,0.8092479674796751
lexical — SHUFFLED briefs (control),Sep_2021,50,0.0,0.12003099378601043,0.23701569290995012,0.06346153846153842,0.5603522029393375,0.8098642533936651
lexical — SHUFFLED briefs (control),Sep_2021,100,0.0,0.1210450631882416,0.23243986641100584,0.0869883040935672,0.5621936683407994,0.8079166666666667
lexical — SHUFFLED briefs (control),Sep_2021,200,0.0,0.10966644466644468,0.2475820013320013,0.0929577464788732,0.578264802034407,0.8054929577464789
lexical — SHUFFLED briefs (control),Menon_2022,25,0.15,0.0972336581525559,0.23871770919046517,0.03291021671826621,0.5390354821804146,0.8782941176470588
lexical — SHUFFLED briefs (control),Menon_2022,50,0.0,0.0988041013927208,0.2297885002017046,0.03310810810810806,0.5290360290370675,0.8779797297297296
lexical — SHUFFLED briefs (control),Menon_2022,100,0.0,0.11768354540776085,0.2347942322690119,0.04365714285714281,0.5346505618338742,0.8776371428571427
lexical — SHUFFLED briefs (control),Menon_2022,200,0.0,0.10884275318045811,0.22433038300071476,0.026161290322580598,0.5259533469124399,0.8774629032258063
lexical — SHUFFLED briefs (control),van_der_Waal_2022,25,0.575,0.17510673624288423,0.3389468690702087,0.230084681687585,0.6684601729277492,0.9343989112354453
lexical — SHUFFLED briefs (control),van_der_Waal_2022,50,0.275,0.16138765294771967,0.3348396366332963,0.18453663793103442,0.648756243862647,0.9343202227011493
lexical — SHUFFLED briefs (control),van_der_Waal_2022,100,0.225,0.18112501046563084,0.3625355083904458,0.19638606175608064,0.6712893561531397,0.9342349491116093
lexical — SHUFFLED briefs (control),van_der_Waal_2022,200,0.05,0.21783336783281898,0.4312501237102768,0.2365744870651204,0.7132670201920088,0.9340677966101695
jasper: embedding,Sep_2021,25,0.05,0.15949366125387301,0.28985448979601325,0.040286692340607576,0.5864365156624819,0.8092479674796751
jasper: embedding,Sep_2021,50,0.0,0.2343402050812208,0.36938608753622887,0.08834841628959271,0.6691165317470995,0.8098642533936651
jasper: embedding,Sep_2021,100,0.0,0.2717317821830566,0.4327595127192203,0.18172514619883035,0.7243696311706527,0.8079166666666667
